,T,WAM.TN,WAM.FP,WAM.FN,WAM.TP,WAM.Rc,WAM.Pr,WAM.F1,WAM.Sn,WAM.Sp,Tpr,Fpr,T,BN.TN,BN.FP,BN.FN,BN.TP,BN.Rc,BN.Pr,BN.F1,BN.Sn,BN.Sp,Tpr,Fpr,T,SVM.TN,SVM.FP,SVM.FN,SVM.TP,SVM.Rc,SVM.Pr,SVM.F1,SVM.Sn,SVM.Sp,Tpr,Fpr
70,-5.0,2047,314,4,2635,1.0,0.89,0.94,1.0,0.87,1.0,0.13,-5.0,1957,404,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-5.0,0,2361,0,2639,1.0,0.53,0.69,1.0,0.0,1.0,1.0
71,-4.5,2079,282,6,2633,1.0,0.9,0.95,1.0,0.88,1.0,0.12,-4.5,1957,404,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-4.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
72,-4.0,2107,254,6,2633,1.0,0.91,0.95,1.0,0.89,1.0,0.11,-4.0,1957,404,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-4.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73,-3.5,2140,221,6,2633,1.0,0.92,0.96,1.0,0.91,1.0,0.09,-3.5,1957,404,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-3.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,-3.0,2160,201,8,2631,1.0,0.93,0.96,1.0,0.91,1.0,0.09,-3.0,1959,402,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-3.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
75,-2.5,2179,182,8,2631,1.0,0.94,0.97,1.0,0.92,1.0,0.08,-2.5,1959,402,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-2.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
76,-2.0,2207,154,8,2631,1.0,0.94,0.97,1.0,0.93,1.0,0.07,-2.0,1959,402,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-2.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
77,-1.5,2228,133,11,2628,1.0,0.95,0.97,1.0,0.94,1.0,0.06,-1.5,1959,402,0,2639,1.0,0.87,0.93,1.0,0.83,1.0,0.17,-1.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
78,-1.0,2257,104,18,2621,0.99,0.96,0.98,0.99,0.96,0.99,0.04,-1.0,2354,7,127,2512,0.95,1.0,0.97,0.95,1.0,0.95,0.0,-1.0,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
79,-0.5,2279,82,23,2616,0.99,0.97,0.98,0.99,0.97,0.99,0.03,-0.5,2354,7,127,2512,0.95,1.0,0.97,0.95,1.0,0.95,0.0,-0.5,2360,1,2,2637,1.0,1.0,1.0,1.0,1.0,1.0,0.0
